month,departement,nb_rsa,nb_aah,nb_ass,nb_prime_activite,nb_aide_logement,nb_garantie_jeune,nb_garantie_jeune_mois
2017-02-01,ain,7630.0,6690.0,2270.0,18150.0,37660.0,183.0,163.0
2017-03-01,ain,7630.0,6700.0,2260.0,18490.0,37920.0,219.0,191.0
2017-04-01,ain,7630.0,6730.0,2250.0,18510.0,38070.0,211.0,181.0
2017-05-01,ain,7590.0,6770.0,2210.0,18820.0,38160.0,245.0,195.0
2017-06-01,ain,7600.0,6800.0,2180.0,18940.0,38170.0,275.0,235.0
2017-07-01,ain,7500.0,6770.0,2230.0,18640.0,37900.0,265.0,196.0
2017-08-01,ain,7490.0,6790.0,2240.0,18800.0,38040.0,264.0,189.0
2017-09-01,ain,7490.0,6800.0,2160.0,19020.0,38330.0,307.0,224.0
2017-10-01,ain,7600.0,6830.0,2170.0,19080.0,38920.0,294.0,222.0
2017-11-01,ain,7740.0,6830.0,2130.0,19380.0,39180.0,287.0,226.0
2017-12-01,ain,7700.0,6850.0,2100.0,19530.0,39300.0,289.0,222.0
2018-01-01,ain,7670.0,6770.0,2090.0,19220.0,36710.0,287.0,236.0
2018-02-01,ain,7600.0,6800.0,2050.0,19130.0,37250.0,297.0,215.0
2018-03-01,ain,7610.0,6810.0,2060.0,19320.0,37480.0,275.0,219.0
2018-04-01,ain,7570.0,6840.0,2000.0,19100.0,37700.0,290.0,230.0
2018-05-01,ain,7550.0,6850.0,1970.0,19370.0,37820.0,271.0,221.0
2018-06-01,ain,7560.0,6880.0,1950.0,19520.0,37860.0,276.0,204.0
2018-07-01,ain,7520.0,6850.0,1960.0,19330.0,37590.0,262.0,194.0
2018-08-01,ain,7480.0,6860.0,1960.0,19440.0,37670.0,256.0,166.0
2018-09-01,ain,7460.0,6850.0,1910.0,19600.0,37920.0,272.0,209.0
2018-10-01,ain,7520.0,6860.0,1870.0,19930.0,38290.0,281.0,213.0
2018-11-01,ain,7620.0,6900.0,1860.0,20530.0,38620.0,280.0,221.0
2018-12-01,ain,7670.0,6960.0,1840.0,21970.0,38750.0,266.0,202.0
